region,cohen_d,p_value,p_fdr
frontal,-0.26665405985281804,0.17031750185601735,0.2775544474690653
central,-0.3504577249269984,0.15472892348537853,0.26440145674142584
temporal,-0.7174489872783841,0.0004993637606264614,0.021972005467564303
parietal,-0.42955546308814724,0.06236803343344608,0.18987232231667642
occipital,-0.4836614147678822,0.07001253343400067,0.18987232231667642
