feature_1,feature_2,spearman_r,abs_spearman_r
frontal_beta_power_mean,occipital_beta_power_mean,0.5574041457797047,0.5574041457797047
frontal_delta_power_mean,temporal_delta_power_mean,0.5539832001083864,0.5539832001083864
parietal_theta_power_mean,parietal_beta_power_mean,0.5516393442622951,0.5516393442622951
central_delta_power_mean,central_theta_power_mean,0.5488077496274217,0.5488077496274217
frontal_theta_power_mean,frontal_beta_power_mean,0.5481642053922233,0.5481642053922233
occipital_delta_power_mean,occipital_theta_beta_ratio,0.5457593821975342,0.5457593821975342
temporal_delta_power_mean,temporal_theta_beta_ratio,0.5431919794065845,0.5431919794065845
frontal_theta_power_mean,occipital_theta_power_mean,0.5392561983471075,0.5392561983471075
frontal_alpha_power_mean,temporal_beta_power_mean,0.5336946213250237,0.5336946213250237
parietal_theta_power_mean,parietal_alpha_power_mean,0.5269136973309849,0.5269136973309849
frontal_theta_power_mean,temporal_alpha_power_mean,0.5238043625524996,0.5238043625524996
parietal_theta_power_mean,occipital_alpha_power_mean,0.5211895407126406,0.5211895407126406
central_beta_power_mean,occipital_beta_power_mean,0.5186831052702886,0.5186831052702886
central_theta_power_mean,parietal_beta_power_mean,0.514591518764395,0.514591518764395
frontal_alpha_power_mean,parietal_theta_power_mean,0.5144560357675112,0.5144560357675112
frontal_delta_power_mean,temporal_theta_power_mean,0.5127421758569299,0.5127421758569299
central_alpha_power_mean,parietal_beta_power_mean,0.5123357268662783,0.5123357268662783
frontal_delta_power_mean,parietal_theta_power_mean,0.5095447771304701,0.5095447771304701
frontal_beta_power_mean,parietal_alpha_power_mean,0.5068080205934156,0.5068080205934156
parietal_alpha_power_mean,temporal_beta_power_mean,0.5052770627286276,0.5052770627286276
frontal_theta_power_mean,occipital_alpha_power_mean,0.505256740279095,0.505256740279095
parietal_theta_power_mean,temporal_alpha_power_mean,0.5046741633924943,0.5046741633924943
frontal_delta_power_mean,occipital_theta_power_mean,0.5011380571738246,0.5011380571738246
temporal_theta_beta_ratio,occipital_theta_power_mean,0.4977442081018832,0.4977442081018832
central_alpha_power_mean,temporal_beta_power_mean,0.49685679447229375,0.49685679447229375
central_alpha_power_mean,occipital_alpha_power_mean,0.4968093754233844,0.4968093754233844
frontal_beta_power_mean,occipital_alpha_power_mean,0.49455358352526757,0.49455358352526757
parietal_theta_power_mean,parietal_theta_beta_ratio,0.49319875355642867,0.49319875355642867
frontal_theta_power_mean,parietal_alpha_power_mean,0.4910648963555074,0.4910648963555074
frontal_theta_power_mean,central_beta_power_mean,0.48711556699634195,0.48711556699634195
occipital_delta_power_mean,occipital_alpha_power_mean,0.48546944858420266,0.48546944858420266
central_theta_power_mean,central_alpha_power_mean,0.48087657498983877,0.48087657498983877
central_beta_power_mean,occipital_alpha_power_mean,0.48026690150386125,0.48026690150386125
