mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
24.024802017211915,3.1210207181634906,0.10890936851501465,0.012349486204986262,20,,2,11,984,"{'max_depth': 20, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 11, 'n_estimators': 984}",0.55,0.788888888888889,0.6833333333333333,0.7277777777777779,0.7833333333333333,0.7066666666666667,0.0873760144503889,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
22.670620727539063,1.2262873837005717,0.11888642311096191,0.01838129098408677,25,,2,11,984,"{'max_depth': 25, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 11, 'n_estimators': 984}",0.55,0.788888888888889,0.6833333333333333,0.7277777777777779,0.7833333333333333,0.7066666666666667,0.0873760144503889,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
25.455401611328124,1.9827116443928048,0.11549186706542969,0.021450356473511567,15,,2,11,984,"{'max_depth': 15, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 11, 'n_estimators': 984}",0.55,0.788888888888889,0.6833333333333333,0.7277777777777779,0.7833333333333333,0.7066666666666667,0.0873760144503889,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
21.49298620223999,1.267831808142724,0.09696459770202637,0.0052112884623908996,,,2,11,984,"{'max_depth': None, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 11, 'n_estimators': 984}",0.55,0.788888888888889,0.6833333333333333,0.7277777777777779,0.7833333333333333,0.7066666666666667,0.0873760144503889,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
25.886627388000488,1.2912831855427227,0.13583717346191407,0.05700018714415002,15,,1,9,984,"{'max_depth': 15, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 9, 'n_estimators': 984}",0.55,0.7388888888888889,0.6833333333333333,0.7277777777777779,0.7833333333333333,0.6966666666666667,0.07993824777157754,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
22.180928421020507,1.4507872123166419,0.09654178619384765,0.006029545789353728,,,1,9,984,"{'max_depth': None, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 9, 'n_estimators': 984}",0.55,0.7388888888888889,0.6833333333333333,0.7277777777777779,0.7833333333333333,0.6966666666666667,0.07993824777157754,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
26.29294171333313,0.27531764407239073,0.11310882568359375,0.0030819509022350115,25,,2,9,1184,"{'max_depth': 25, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 9, 'n_estimators': 1184}",0.55,0.7388888888888889,0.6833333333333333,0.7277777777777779,0.7833333333333333,0.6966666666666667,0.07993824777157754,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
28.48368549346924,2.643573385425584,0.13384227752685546,0.021028866810630882,20,,2,9,1184,"{'max_depth': 20, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 9, 'n_estimators': 1184}",0.55,0.7388888888888889,0.6833333333333333,0.7277777777777779,0.7833333333333333,0.6966666666666667,0.07993824777157754,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
23.450545501708984,2.156113766444297,0.10670561790466308,0.009323780379136946,25,,1,9,984,"{'max_depth': 25, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 9, 'n_estimators': 984}",0.55,0.7388888888888889,0.6833333333333333,0.7277777777777779,0.7833333333333333,0.6966666666666667,0.07993824777157754,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
30.6887095451355,2.0565285417520602,0.1308506488800049,0.03342159372551536,15,,2,9,1184,"{'max_depth': 15, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 9, 'n_estimators': 1184}",0.55,0.7388888888888889,0.6833333333333333,0.7277777777777779,0.7833333333333333,0.6966666666666667,0.07993824777157754,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
