,frontal_beta_power_mean,central_beta_power_mean,temporal_beta_power_mean,parietal_beta_power_mean,occipital_beta_power_mean
frontal_beta_power_mean,1.0,0.7287149656266526,0.6269169751454257,0.6714436805922792,0.55579058699101
central_beta_power_mean,0.7287149656266526,1.0,0.571602326811211,0.7195663670015865,0.5582760444209413
temporal_beta_power_mean,0.6269169751454257,0.571602326811211,1.0,0.653146483342147,0.4556848228450555
parietal_beta_power_mean,0.6714436805922792,0.7195663670015865,0.653146483342147,1.0,0.5376520359598096
occipital_beta_power_mean,0.55579058699101,0.5582760444209413,0.4556848228450555,0.5376520359598096,1.0
