,frontal_theta_power_mean,central_theta_power_mean,temporal_theta_power_mean,parietal_theta_power_mean,occipital_theta_power_mean
frontal_theta_power_mean,1.0,0.7504862461794943,0.6505140316754654,0.8478466240622395,0.7214226173937205
central_theta_power_mean,0.7504862461794943,1.0,0.7977215893303695,0.8209502639622117,0.6492358988607947
temporal_theta_power_mean,0.6505140316754654,0.7977215893303695,1.0,0.7675465407057516,0.6789663795498749
parietal_theta_power_mean,0.8478466240622395,0.8209502639622117,0.7675465407057516,1.0,0.8467907752153376
occipital_theta_power_mean,0.7214226173937205,0.6492358988607947,0.6789663795498749,0.8467907752153376,1.0
