,precision,recall,f1-score,support
Control,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0
ADHD,0.9230769230769231,0.9230769230769231,0.9230769230769231,13.0
accuracy,0.92,0.92,0.92,0.92
macro avg,0.9198717948717949,0.9198717948717949,0.9198717948717949,25.0
weighted avg,0.92,0.92,0.92,25.0
