mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.6689393043518066,0.014893399251309086,0.02732696533203125,0.001953999110240854,3,sqrt,1,13,221,"{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 13, 'n_estimators': 221}",0.5,0.6444444444444444,0.7388888888888889,0.7333333333333334,0.5166666666666666,0.6266666666666667,0.10240322139994633,1,0.8289473684210527,0.8562753036437247,0.8694331983805668,0.8458164642375169,0.844804318488529,0.8490553306342781,0.013418472404191523
3.12709002494812,0.049634628949348746,0.10491185188293457,0.005832376704958712,3,sqrt,4,13,1080,"{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 13, 'n_estimators': 1080}",0.5,0.6444444444444444,0.7388888888888889,0.7333333333333334,0.5166666666666666,0.6266666666666667,0.10240322139994633,1,0.8289473684210527,0.8431174089068827,0.856612685560054,0.8454790823211875,0.8444669365721997,0.8437246963562753,0.008814389091934096
3.4268688201904296,0.026660950012857156,0.11987447738647461,0.00599327428390438,15,sqrt,3,13,1192,"{'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 13, 'n_estimators': 1192}",0.5,0.6444444444444444,0.7388888888888889,0.6833333333333333,0.5222222222222221,0.6177777777777778,0.09238940669327737,3,0.9473684210526316,0.9480431848852902,0.9355600539811066,0.9612010796221322,0.9342105263157895,0.94527665317139,0.0098233193146407
1.0292491436004638,0.009053700466869806,0.04188852310180664,0.0010938907082188383,5,sqrt,9,5,360,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 9, 'min_samples_split': 5, 'n_estimators': 360}",0.55,0.6444444444444444,0.7388888888888889,0.6888888888888889,0.4666666666666667,0.6177777777777778,0.09784088872333918,3,0.8289473684210527,0.8441295546558705,0.8569500674763832,0.831646423751687,0.8444669365721997,0.8412280701754387,0.010086760140175208
1.1179327011108398,0.012040328512104745,0.04009213447570801,0.0022213605289851763,30,sqrt,9,13,386,"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 9, 'min_samples_split': 13, 'n_estimators': 386}",0.55,0.6444444444444444,0.7388888888888889,0.6888888888888889,0.4666666666666667,0.6177777777777778,0.09784088872333918,3,0.8289473684210527,0.8313090418353576,0.8701079622132254,0.831646423751687,0.8444669365721997,0.8412955465587044,0.015398223022934155
1.0150859355926514,0.024319435629601455,0.038495445251464845,0.004398731159920374,5,log2,9,4,352,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 9, 'min_samples_split': 4, 'n_estimators': 352}",0.55,0.6444444444444444,0.7388888888888889,0.6888888888888889,0.4666666666666667,0.6177777777777778,0.09784088872333918,3,0.8157894736842105,0.8572874493927125,0.8569500674763832,0.831646423751687,0.831646423751687,0.8386639676113361,0.016142799249213503
3.4666864395141603,0.028590631514529757,0.11768527030944824,0.0012616151854675064,3,log2,2,11,1195,"{'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 11, 'n_estimators': 1195}",0.5,0.5944444444444444,0.7388888888888889,0.7333333333333334,0.5166666666666666,0.6166666666666667,0.10261999901350063,7,0.8421052631578947,0.8296221322537112,0.8562753036437247,0.8714574898785425,0.8836032388663968,0.856612685560054,0.019431558260373363
2.3663711547851562,0.028323324188094492,0.08118200302124023,0.0032535849099528604,5,log2,3,2,812,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 812}",0.5,0.5944444444444444,0.788888888888889,0.6833333333333333,0.4722222222222222,0.6077777777777779,0.1171998398852823,8,0.9736842105263157,0.9740215924426451,0.9871794871794872,0.9740215924426451,1.0,0.9817813765182187,0.010459927678351282
1.2796413898468018,0.012120859404309157,0.04627881050109863,0.00223653815855399,30,sqrt,9,12,445,"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 9, 'min_samples_split': 12, 'n_estimators': 445}",0.5,0.6444444444444444,0.7388888888888889,0.6888888888888889,0.4666666666666667,0.6077777777777778,0.1064349334651382,9,0.8289473684210527,0.8313090418353576,0.8569500674763832,0.831646423751687,0.8444669365721997,0.8386639676113361,0.010637754009677921
4.351818323135376,0.0555909777058741,0.14731407165527344,0.007889578570601335,20,log2,3,13,1467,"{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 13, 'n_estimators': 1467}",0.5,0.6444444444444444,0.6833333333333333,0.6833333333333333,0.5277777777777778,0.6077777777777778,0.0784573486395988,9,0.9473684210526316,0.9352226720647774,0.9355600539811066,0.9612010796221322,0.9342105263157895,0.9427125506072874,0.010421552095142905
