group,band,feature_1,feature_2,spearman_r,abs_spearman_r
ADHD,beta,central_beta_power_mean,temporal_beta_power_mean,0.571602326811211,0.571602326811211
ADHD,beta,central_beta_power_mean,parietal_beta_power_mean,0.7195663670015865,0.7195663670015865
ADHD,beta,central_beta_power_mean,occipital_beta_power_mean,0.5582760444209413,0.5582760444209413
ADHD,beta,temporal_beta_power_mean,parietal_beta_power_mean,0.653146483342147,0.653146483342147
ADHD,beta,temporal_beta_power_mean,occipital_beta_power_mean,0.4556848228450555,0.4556848228450555
ADHD,beta,parietal_beta_power_mean,occipital_beta_power_mean,0.5376520359598096,0.5376520359598096
Control,beta,frontal_beta_power_mean,central_beta_power_mean,0.7473742706307308,0.7473742706307308
Control,beta,frontal_beta_power_mean,temporal_beta_power_mean,0.6666296193387052,0.6666296193387052
Control,beta,frontal_beta_power_mean,parietal_beta_power_mean,0.7766046123923313,0.7766046123923313
Control,beta,frontal_beta_power_mean,occipital_beta_power_mean,0.5761044734648514,0.5761044734648514
Control,beta,central_beta_power_mean,temporal_beta_power_mean,0.7505973881633787,0.7505973881633787
Control,beta,central_beta_power_mean,parietal_beta_power_mean,0.7691025284801334,0.7691025284801334
Control,beta,central_beta_power_mean,occipital_beta_power_mean,0.5214781883856627,0.5214781883856627
Control,beta,temporal_beta_power_mean,parietal_beta_power_mean,0.6383439844401223,0.6383439844401223
Control,beta,temporal_beta_power_mean,occipital_beta_power_mean,0.5056404556821339,0.5056404556821339
Control,beta,parietal_beta_power_mean,occipital_beta_power_mean,0.6869130313976104,0.6869130313976104
ADHD,theta_beta_ratio,frontal_theta_beta_ratio,central_theta_beta_ratio,0.5586991010047594,0.5586991010047594
ADHD,theta_beta_ratio,frontal_theta_beta_ratio,temporal_theta_beta_ratio,0.5373876255949234,0.5373876255949234
ADHD,theta_beta_ratio,frontal_theta_beta_ratio,parietal_theta_beta_ratio,0.5973030142781597,0.5973030142781597
ADHD,theta_beta_ratio,frontal_theta_beta_ratio,occipital_theta_beta_ratio,0.5140666314119513,0.5140666314119513
ADHD,theta_beta_ratio,central_theta_beta_ratio,temporal_theta_beta_ratio,0.4886832363828662,0.4886832363828662
ADHD,theta_beta_ratio,central_theta_beta_ratio,parietal_theta_beta_ratio,0.6842411422527763,0.6842411422527763
ADHD,theta_beta_ratio,central_theta_beta_ratio,occipital_theta_beta_ratio,0.535483870967742,0.535483870967742
ADHD,theta_beta_ratio,temporal_theta_beta_ratio,parietal_theta_beta_ratio,0.5309360126916975,0.5309360126916975
ADHD,theta_beta_ratio,temporal_theta_beta_ratio,occipital_theta_beta_ratio,0.41972501322051825,0.41972501322051825
ADHD,theta_beta_ratio,parietal_theta_beta_ratio,occipital_theta_beta_ratio,0.5626123744050767,0.5626123744050767
Control,theta_beta_ratio,frontal_theta_beta_ratio,central_theta_beta_ratio,0.7428174492914699,0.7428174492914699
Control,theta_beta_ratio,frontal_theta_beta_ratio,temporal_theta_beta_ratio,0.6670186162823006,0.6670186162823006
Control,theta_beta_ratio,frontal_theta_beta_ratio,parietal_theta_beta_ratio,0.6976938038343985,0.6976938038343985
Control,theta_beta_ratio,frontal_theta_beta_ratio,occipital_theta_beta_ratio,0.5462072797999444,0.5462072797999444
Control,theta_beta_ratio,central_theta_beta_ratio,temporal_theta_beta_ratio,0.7435398721867186,0.7435398721867186
Control,theta_beta_ratio,central_theta_beta_ratio,parietal_theta_beta_ratio,0.8787996665740484,0.8787996665740484
Control,theta_beta_ratio,central_theta_beta_ratio,occipital_theta_beta_ratio,0.5278688524590164,0.5278688524590164
Control,theta_beta_ratio,temporal_theta_beta_ratio,parietal_theta_beta_ratio,0.6725201444845791,0.6725201444845791
Control,theta_beta_ratio,temporal_theta_beta_ratio,occipital_theta_beta_ratio,0.6165601555987774,0.6165601555987774
Control,theta_beta_ratio,parietal_theta_beta_ratio,occipital_theta_beta_ratio,0.5507085301472632,0.5507085301472632
