,frontal_theta_power_mean,central_theta_power_mean,temporal_theta_power_mean,parietal_theta_power_mean,occipital_theta_power_mean
frontal_theta_power_mean,1.0,0.6378106821787414,0.5073506081438393,0.7351665785298783,0.5579587519830778
central_theta_power_mean,0.6378106821787414,1.0,0.5724484399788472,0.6794817556848228,0.4445267054468535
temporal_theta_power_mean,0.5073506081438393,0.5724484399788472,1.0,0.5347435219460603,0.5194077207826546
parietal_theta_power_mean,0.7351665785298783,0.6794817556848228,0.5347435219460603,1.0,0.6817028027498678
occipital_theta_power_mean,0.5579587519830778,0.4445267054468535,0.5194077207826546,0.6817028027498678,1.0
