feature_set,n_features,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,precision_mean,precision_std,recall_mean,recall_std
All EEG features,120,0.6047368421052631,0.058143008335332536,0.6044444444444445,0.05946261404559846,0.6422857142857141,0.03690325649771378,0.6077777777777778,0.12240390536818144,0.593030303030303,0.05142237635227814,0.7088888888888889,0.07316478948068593
Channel-level features,95,0.5947368421052631,0.09647527778854399,0.5933333333333334,0.09580071908799945,0.6338679819753988,0.05769851007443754,0.6253333333333334,0.1259794221879701,0.5976923076923077,0.10607577954423507,0.6866666666666668,0.016329931618554516
Regional mean features,25,0.6042105263157895,0.09707066849177688,0.6033333333333333,0.09734753828359786,0.62843776106934,0.08746604010055985,0.6353333333333333,0.1374591297283633,0.598932178932179,0.09527934739976238,0.6666666666666667,0.10134892667547894
