feature_set,n_features,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,precision_mean,precision_std,recall_mean,recall_std
All EEG features,120,0.6757894736842105,0.07335263743235515,0.6766666666666665,0.0753100586792469,0.699043062200957,0.062402324032377506,0.6737777777777778,0.0941488183675186,0.6597435897435898,0.08083066446721629,0.7511111111111111,0.08213208272256146
Channel-level features,95,0.6136842105263158,0.0581906314150958,0.61,0.06299127903581496,0.6460528559249787,0.04122762148337593,0.681111111111111,0.05811865258054232,0.6036446886446886,0.05556917811220014,0.7066666666666667,0.08566371229953948
Regional mean features,25,0.6757894736842106,0.11935189712049153,0.6777777777777778,0.11292956397575032,0.6999521531100479,0.09313494872234748,0.7288888888888889,0.09178611745805948,0.6699999999999999,0.11372481406154654,0.7488888888888889,0.10508080371143903
Correlation-reduced RF features | threshold=0.75,17,0.6968421052631578,0.11422871550526768,0.6988888888888888,0.10797804989561194,0.7219679633867276,0.0993552517457609,0.7186666666666667,0.0854975272185917,0.6744522144522145,0.1064801864801865,0.7911111111111111,0.12695872761853957
