,frontal_delta_power_mean,central_delta_power_mean,temporal_delta_power_mean,parietal_delta_power_mean,occipital_delta_power_mean
frontal_delta_power_mean,1.0,0.7120311197554876,0.4459572103362045,0.7898860794665185,0.8007779938871908
central_delta_power_mean,0.7120311197554876,1.0,0.73098082800778,0.8437899416504585,0.7886079466518477
temporal_delta_power_mean,0.4459572103362045,0.73098082800778,1.0,0.6450680744651291,0.656849124756877
parietal_delta_power_mean,0.7898860794665185,0.8437899416504585,0.6450680744651291,1.0,0.8758544040011115
occipital_delta_power_mean,0.8007779938871908,0.7886079466518477,0.656849124756877,0.8758544040011115,1.0
