,precision,recall,f1-score,support
Control,0.4,0.16666666666666666,0.23529411764705882,12.0
ADHD,0.5,0.7692307692307693,0.6060606060606061,13.0
accuracy,0.48,0.48,0.48,0.48
macro avg,0.45,0.46794871794871795,0.4206773618538324,25.0
weighted avg,0.452,0.48,0.4280926916221034,25.0
