,frontal_beta_power_mean,central_beta_power_mean,temporal_beta_power_mean,parietal_beta_power_mean,occipital_beta_power_mean
frontal_beta_power_mean,1.0,0.7473742706307308,0.6666296193387052,0.7766046123923313,0.5761044734648514
central_beta_power_mean,0.7473742706307308,1.0,0.7505973881633787,0.7691025284801334,0.5214781883856627
temporal_beta_power_mean,0.6666296193387052,0.7505973881633787,1.0,0.6383439844401223,0.5056404556821339
parietal_beta_power_mean,0.7766046123923313,0.7691025284801334,0.6383439844401223,1.0,0.6869130313976104
occipital_beta_power_mean,0.5761044734648514,0.5214781883856627,0.5056404556821339,0.6869130313976104,1.0
