mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
23.435366106033324,1.230412360418889,0.11948142051696778,0.024716069494584717,20,,2,11,984,"{'max_depth': 20, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 11, 'n_estimators': 984}",0.55,0.788888888888889,0.6833333333333333,0.7277777777777779,0.7833333333333333,0.7066666666666667,0.0873760144503889,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.4343666553497314,0.19174233098989993,0.05225982666015625,0.002862192572887202,10,log2,5,9,416,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 9, 'n_estimators': 416}",0.6,0.7333333333333334,0.7944444444444444,0.6166666666666667,0.7833333333333333,0.7055555555555555,0.0821771648315582,2,0.986842105263158,0.986842105263158,0.986842105263158,1.0,1.0,0.9921052631578948,0.006446025638903066
2.7470457553863525,0.12657615829200328,0.1144941806793213,0.010786645577229212,5,log2,3,2,812,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 812}",0.65,0.6833333333333333,0.7388888888888889,0.6666666666666666,0.7833333333333333,0.7044444444444444,0.04949123878071131,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
27.58510241508484,2.6632399873414023,0.12265644073486329,0.045408719095782556,15,,2,6,997,"{'max_depth': 15, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 997}",0.55,0.7388888888888889,0.6833333333333333,0.7222222222222222,0.7833333333333333,0.6955555555555556,0.07953568963632567,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5.43488712310791,0.3904879691130715,0.03690261840820312,0.0022507135106444357,5,,4,9,253,"{'max_depth': 5, 'max_features': None, 'min_samples_leaf': 4, 'min_samples_split': 9, 'n_estimators': 253}",0.55,0.788888888888889,0.6888888888888889,0.6666666666666666,0.7833333333333333,0.6955555555555555,0.08772853752511948,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3.8483161449432375,0.4258514734750558,0.11289734840393066,0.009169944058620655,3,sqrt,7,10,979,"{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 7, 'min_samples_split': 10, 'n_estimators': 979}",0.65,0.6277777777777778,0.7388888888888889,0.6666666666666666,0.7833333333333333,0.6933333333333332,0.058415286347088514,6,0.9605263157894737,0.986842105263158,0.9605263157894737,0.9871794871794872,1.0,0.9790148448043186,0.01582375138996609
5.335741996765137,1.03896293453785,0.18211302757263184,0.05169507223631838,10,log2,2,3,1021,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 1021}",0.65,0.6833333333333333,0.6833333333333333,0.6666666666666666,0.7833333333333333,0.6933333333333332,0.04666666666666666,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3.5295687675476075,0.06629732296106895,0.11888160705566406,0.014554672322995442,7,sqrt,9,4,909,"{'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 9, 'min_samples_split': 4, 'n_estimators': 909}",0.7,0.6277777777777778,0.6833333333333333,0.6666666666666666,0.7833333333333333,0.6922222222222222,0.05147215476400209,8,0.9605263157894737,0.9736842105263157,0.9605263157894737,0.9871794871794872,0.9871794871794872,0.9738191632928475,0.011919851596869235
31.68932189941406,1.651443042500466,0.12327637672424316,0.0191412929985856,,,1,6,1219,"{'max_depth': None, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 1219}",0.55,0.7388888888888889,0.6833333333333333,0.6722222222222223,0.7833333333333333,0.6855555555555556,0.07869302759833677,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0
29.583348178863524,0.9779118078700778,0.14102401733398437,0.007842800411857156,10,,4,14,1383,"{'max_depth': 10, 'max_features': None, 'min_samples_leaf': 4, 'min_samples_split': 14, 'n_estimators': 1383}",0.55,0.788888888888889,0.6333333333333333,0.6722222222222223,0.7833333333333333,0.6855555555555556,0.09112466023916745,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0
