mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__penalty,param_classifier__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.02817850112915039,0.031824586615610446,0.004837322235107422,0.002482805019811653,0.1,l2,lbfgs,"{'classifier__C': 0.1, 'classifier__penalty': 'l2', 'classifier__solver': 'lbfgs'}",0.55,0.5833333333333333,0.7388888888888889,0.6722222222222223,0.5222222222222221,0.6133333333333333,0.08055363982396384,1,0.6842105263157895,0.6869095816464237,0.6865721997300944,0.6511470985155196,0.728744939271255,0.6875168690958164,0.024636181048571956
0.01664867401123047,0.00364346419807451,0.01900506019592285,0.024000639617330052,1.0,l2,lbfgs,"{'classifier__C': 1, 'classifier__penalty': 'l2', 'classifier__solver': 'lbfgs'}",0.55,0.7388888888888889,0.5833333333333333,0.5111111111111111,0.6388888888888888,0.6044444444444445,0.07922463764433729,2,0.736842105263158,0.7000674763832658,0.7392037786774629,0.7668690958164642,0.7152496626180838,0.731646423751687,0.022763255653774947
0.016662073135375977,0.004673443482630609,0.0033286094665527345,0.0032266976166555376,0.01,l2,lbfgs,"{'classifier__C': 0.01, 'classifier__penalty': 'l2', 'classifier__solver': 'lbfgs'}",0.6499999999999999,0.4833333333333333,0.6333333333333333,0.5166666666666666,0.5722222222222222,0.571111111111111,0.06444444444444444,3,0.5921052631578947,0.5958164642375169,0.5826585695006747,0.5600539811066128,0.5860323886639676,0.5833333333333333,0.012509546402819097
0.011058521270751954,0.0027099577240156975,0.0048996925354003905,0.00373371419664176,0.001,l2,lbfgs,"{'classifier__C': 0.001, 'classifier__penalty': 'l2', 'classifier__solver': 'lbfgs'}",0.55,0.5333333333333333,0.5833333333333333,0.4611111111111111,0.6222222222222222,0.55,0.0538631095268481,4,0.5921052631578947,0.5435222672064777,0.569838056680162,0.5867071524966262,0.5475708502024291,0.5679487179487179,0.019752954886404318
0.04163503646850586,0.022326672530972508,0.005400896072387695,0.0027962703154499778,10.0,l2,lbfgs,"{'classifier__C': 10, 'classifier__penalty': 'l2', 'classifier__solver': 'lbfgs'}",0.55,0.6277777777777778,0.5277777777777778,0.5111111111111111,0.5277777777777778,0.5488888888888889,0.0413357227505295,5,0.75,0.7526990553306343,0.7651821862348178,0.7803643724696356,0.74055330634278,0.7577597840755737,0.013769150813154878
0.02309408187866211,0.005111552520731235,0.003300762176513672,0.0034764802786007433,100.0,l2,lbfgs,"{'classifier__C': 100, 'classifier__penalty': 'l2', 'classifier__solver': 'lbfgs'}",0.55,0.5777777777777777,0.5277777777777778,0.5111111111111111,0.5777777777777777,0.5488888888888889,0.026620330112690962,5,0.75,0.7533738191632928,0.7783400809716599,0.7537112010796221,0.714574898785425,0.7499999999999999,0.020412024175681887
