removed_feature,max_correlation_with_selected,most_correlated_selected_feature
occipital_theta_power_mean,0.813049376017363,parietal_theta_power_mean
parietal_alpha_power_mean,0.7595632121540966,central_alpha_power_mean
parietal_delta_power_mean,0.7691399891481281,parietal_theta_power_mean
frontal_theta_power_mean,0.7549376017362995,central_theta_power_mean
temporal_alpha_power_mean,0.8097938144329897,frontal_alpha_power_mean
parietal_theta_beta_ratio,0.819886055344547,central_theta_beta_ratio
temporal_theta_power_mean,0.8031063483450895,central_theta_power_mean
central_delta_power_mean,0.8237249050461205,occipital_delta_power_mean
