,frontal_alpha_power_mean,central_alpha_power_mean,temporal_alpha_power_mean,parietal_alpha_power_mean,occipital_alpha_power_mean
frontal_alpha_power_mean,1.0,0.7490969713809391,0.7381494859683245,0.8467352042233954,0.6783550986385107
central_alpha_power_mean,0.7490969713809391,1.0,0.7771603223117532,0.7804945818282857,0.5015282022784107
temporal_alpha_power_mean,0.7381494859683245,0.7771603223117532,1.0,0.7637121422617393,0.5505418171714365
parietal_alpha_power_mean,0.8467352042233954,0.7804945818282857,0.7637121422617393,1.0,0.7612114476243401
occipital_alpha_power_mean,0.6783550986385107,0.5015282022784107,0.5505418171714365,0.7612114476243401,1.0
