,frontal_theta_beta_ratio,central_theta_beta_ratio,temporal_theta_beta_ratio,parietal_theta_beta_ratio,occipital_theta_beta_ratio
frontal_theta_beta_ratio,1.0,0.5586991010047594,0.5373876255949234,0.5973030142781597,0.5140666314119513
central_theta_beta_ratio,0.5586991010047594,1.0,0.4886832363828662,0.6842411422527763,0.535483870967742
temporal_theta_beta_ratio,0.5373876255949234,0.4886832363828662,1.0,0.5309360126916975,0.41972501322051825
parietal_theta_beta_ratio,0.5973030142781597,0.6842411422527763,0.5309360126916975,1.0,0.5626123744050767
occipital_theta_beta_ratio,0.5140666314119513,0.535483870967742,0.41972501322051825,0.5626123744050767,1.0
