feature,importance
O2_P8_delta_connectivity,0.0019803115134156687
F4_P8_delta_connectivity,0.0019773774129529646
T7_Pz_beta_connectivity,0.0019662547457195887
F4_Fz_alpha_connectivity,0.0019590705782650208
O2_P7_alpha_connectivity,0.0019421719557434112
O2_T7_alpha_connectivity,0.0018698254236630416
C3_P8_alpha_connectivity,0.001868236098212675
O2_T7_theta_connectivity,0.0018616814799693906
Fp2_T8_alpha_connectivity,0.0018523149295701026
Fp2_P4_alpha_connectivity,0.0018468784394431745
F4_O1_beta_connectivity,0.0018373077284934596
O1_P7_alpha_connectivity,0.0018233048277832107
F7_Fz_theta_connectivity,0.0018104477819210522
F3_C4_theta_connectivity,0.0018086421404996075
P4_F7_alpha_connectivity,0.001800957646815365
F3_P4_alpha_connectivity,0.0017943843582866143
P8_Fz_alpha_connectivity,0.0017876996359851409
P3_O2_theta_connectivity,0.0017810124270450146
Fp2_Fz_alpha_connectivity,0.0017790527964619655
P7_Pz_theta_connectivity,0.0017759084654576248
F7_Fz_beta_connectivity,0.0017735545022306584
P3_T7_alpha_connectivity,0.0017727304222811071
Fz_Cz_theta_connectivity,0.0017675342464341494
F3_O1_theta_connectivity,0.0017584406308256946
Fp1_F8_alpha_connectivity,0.0017581306833339958
C3_P8_theta_connectivity,0.0017448418426148735
O1_T8_delta_connectivity,0.0017426188129133957
P3_F8_theta_connectivity,0.0017207688245354578
P3_T8_alpha_connectivity,0.0017142642417504552
P8_Cz_delta_connectivity,0.0017091956965149995
P4_P7_alpha_connectivity,0.0017063977645309343
O2_F7_theta_connectivity,0.0017063754677282723
F3_F4_alpha_connectivity,0.0016922312268193135
F4_T8_theta_connectivity,0.001688595096699684
P8_Fz_delta_connectivity,0.0016858067419354935
F4_F8_theta_connectivity,0.0016817206922332222
P4_O2_theta_connectivity,0.0016779909451777348
Fp1_T7_delta_connectivity,0.0016758575436509261
Fp1_P4_alpha_connectivity,0.0016625819151441076
Fp2_C3_beta_connectivity,0.0016585900160777372
P7_Pz_delta_connectivity,0.0016480452973278094
C3_C4_delta_connectivity,0.0016371506490773997
F3_F4_theta_connectivity,0.001620947010674216
P3_Cz_delta_connectivity,0.0016172218303770335
F4_Cz_alpha_connectivity,0.001610656310940959
F3_P8_alpha_connectivity,0.0016074355327400337
O1_T7_beta_connectivity,0.001603778010856331
O2_F8_alpha_connectivity,0.0016035822195643492
P7_Pz_beta_connectivity,0.0016020759443980054
O1_F7_alpha_connectivity,0.001599348962992494
P4_F7_beta_connectivity,0.0015853717158884222
C3_P8_delta_connectivity,0.0015838591608155694
C4_P7_alpha_connectivity,0.0015748147399864936
P4_O2_alpha_connectivity,0.0015708362906133623
P4_P8_theta_connectivity,0.0015707886916354339
P8_Cz_theta_connectivity,0.0015660700926067818
O1_P8_alpha_connectivity,0.0015648319860250342
Fp2_O1_delta_connectivity,0.001563946800032187
F4_F8_alpha_connectivity,0.0015633320962852334
O1_O2_delta_connectivity,0.001562457812325047
T8_Fz_delta_connectivity,0.0015554797394120247
C3_F7_theta_connectivity,0.0015539222048447
O1_Fz_alpha_connectivity,0.0015414497127593724
F3_P3_beta_connectivity,0.0015342445030747437
C3_Pz_alpha_connectivity,0.0015267776569565644
F4_P7_beta_connectivity,0.0015267044682964498
Fp2_F4_beta_connectivity,0.001523992032509257
P7_P8_beta_connectivity,0.001522727990483904
C3_Pz_theta_connectivity,0.0015218806053041796
Fp1_O2_beta_connectivity,0.0015186993564615286
Fp1_P4_theta_connectivity,0.0015157622708485397
P3_P7_alpha_connectivity,0.0015074565495191241
F3_T8_alpha_connectivity,0.0014999185093790307
P4_Pz_delta_connectivity,0.001495963235972392
C3_F7_alpha_connectivity,0.0014942466071400594
C3_T7_alpha_connectivity,0.0014883554633995924
T8_P8_alpha_connectivity,0.0014867239435757873
T8_Cz_beta_connectivity,0.0014832037440131289
F4_F7_delta_connectivity,0.0014783477755519637
Fp1_T7_beta_connectivity,0.0014737010948409103
P3_P8_theta_connectivity,0.0014634615355840791
O1_P8_beta_connectivity,0.001461655316930803
Fz_Cz_delta_connectivity,0.0014585295484306883
P3_P7_delta_connectivity,0.0014520255931926105
F3_T7_beta_connectivity,0.0014436155426284269
P3_Fz_beta_connectivity,0.0014380740264028186
Fp2_P7_alpha_connectivity,0.0014360932690231512
Fp2_C3_alpha_connectivity,0.0014349013595134192
F3_P8_beta_connectivity,0.0014327550665069657
F8_T8_theta_connectivity,0.0014318302865787243
Fp1_F7_theta_connectivity,0.001431794861492528
F3_F7_beta_connectivity,0.0014309370544839468
C3_O2_delta_connectivity,0.0014263709590994977
Fp1_Fz_delta_connectivity,0.001414256454913316
C4_P4_delta_connectivity,0.0014117677581403072
Fp1_Cz_beta_connectivity,0.001407240645764023
F7_P7_beta_connectivity,0.0014061751677200325
P4_Fz_theta_connectivity,0.0014046885357335388
Fp2_T8_beta_connectivity,0.001404633982571475
