feature,ADHD_mean,Control_mean,ADHD_median,Control_median,p_value,cohen_d,abs_effect_size,p_fdr
temporal_theta_beta_ratio,1.860874986293587,2.7464172216623535,1.6977377928882509,2.497692774892937,0.0004993637606264614,-0.7174489872783841,0.7174489872783841,0.029824627446859178
P7_delta_power,9224.327951094005,27307.786153796853,4341.816443243347,9086.410936287046,0.00046206792470580306,-0.5615016018750297,0.5615016018750297,0.029824627446859178
Pz_delta_power,11517.645184253848,26783.27286536338,7626.7579482222145,11268.410186500116,0.0007456156861714795,-0.5390460483794455,0.5390460483794455,0.029824627446859178
T7_theta_beta_ratio,2.205795541108062,3.402071908217839,1.9343043322513156,3.21471675181834,0.0022821709300749633,-0.6572923977183178,0.6572923977183178,0.03912293022985651
P7_theta_beta_ratio,1.363972644801535,2.0965478535584,1.1148152392137465,1.7007654708856186,0.002166731816550273,-0.5955885720185198,0.5955885720185198,0.03912293022985651
P7_theta_power,2262.7933077067523,4606.12264574769,1831.1959720552704,2680.5399307024413,0.0015515242013398785,-0.58451838438044,0.58451838438044,0.03912293022985651
F4_beta_power,2417.502842281334,2254.8921114262275,2081.2246930801844,1482.8708649188075,0.0016955473350843654,0.06009785682421407,0.06009785682421407,0.03912293022985651
