,frontal_delta_power_mean,central_delta_power_mean,temporal_delta_power_mean,parietal_delta_power_mean,occipital_delta_power_mean
frontal_delta_power_mean,1.0,0.6941829719725013,0.5407191961924908,0.6496033844526705,0.7219460602855632
central_delta_power_mean,0.6941829719725013,1.0,0.5836065573770491,0.7176097303014278,0.6817028027498678
temporal_delta_power_mean,0.5407191961924908,0.5836065573770491,1.0,0.5369645690111052,0.5290322580645161
parietal_delta_power_mean,0.6496033844526705,0.7176097303014278,0.5369645690111052,1.0,0.7746166049709149
occipital_delta_power_mean,0.7219460602855632,0.6817028027498678,0.5290322580645161,0.7746166049709149,1.0
