mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.9295126438140869,0.04837536576797694,0.03550500869750976,0.0013529158215926658,,log2,1,300,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 300}",0.8,0.5388888888888889,0.7388888888888889,0.8333333333333333,0.6333333333333333,0.7088888888888889,0.10890022616716304,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0436191082000732,0.17234860425870316,0.03769783973693848,0.004983228856726208,10,log2,1,300,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 300}",0.8,0.5388888888888889,0.7388888888888889,0.8333333333333333,0.6333333333333333,0.7088888888888889,0.10890022616716304,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5.040265512466431,0.7247939986314433,0.14680795669555663,0.026807630882427262,5,log2,1,1200,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 1200}",0.8,0.48888888888888893,0.6833333333333333,0.8333333333333333,0.7333333333333334,0.7077777777777777,0.12118753959498647,3,1.0,0.986842105263158,0.986842105263158,0.9871794871794872,1.0,0.9921727395411606,0.006392118668172732
1.418934440612793,0.3345098099404861,0.05179362297058106,0.014166854276418058,5,log2,1,300,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 300}",0.8,0.5388888888888889,0.7388888888888889,0.8333333333333333,0.6222222222222222,0.7066666666666668,0.11052065334051737,4,1.0,0.986842105263158,1.0,0.9871794871794872,0.9871794871794872,0.9922402159244263,0.00633703475404796
3.824023151397705,0.2554792996602133,0.15039324760437012,0.031964361421811256,3,sqrt,1,1200,"{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 1200}",0.8,0.5444444444444444,0.7388888888888889,0.8333333333333333,0.6166666666666667,0.7066666666666668,0.10973593444556791,4,0.9342105263157895,0.9473684210526316,0.9210526315789473,0.9358974358974359,0.9230769230769231,0.9323211875843456,0.009541647327564675
1.0864885330200196,0.20045582630357758,0.041089963912963864,0.010749100862380125,7,log2,1,300,"{'max_depth': 7, 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 300}",0.8,0.48888888888888893,0.7388888888888889,0.8333333333333333,0.6333333333333333,0.6988888888888888,0.12513696200267632,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4.986980152130127,1.1679046438630853,0.14087162017822266,0.023284136647064472,7,log2,2,1200,"{'max_depth': 7, 'max_features': 'log2', 'min_samples_leaf': 2, 'n_estimators': 1200}",0.8,0.5388888888888889,0.6833333333333333,0.7833333333333333,0.6833333333333333,0.6977777777777778,0.09320096433560343,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3.022955131530762,0.1404905471451522,0.09877977371215821,0.010342925370795248,10,log2,2,800,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'n_estimators': 800}",0.8,0.5388888888888889,0.6333333333333333,0.8333333333333333,0.6833333333333333,0.6977777777777778,0.10810374532404703,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.8158126831054688,0.2107650464474783,0.06723837852478028,0.015399496199364532,10,log2,2,500,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'n_estimators': 500}",0.8,0.5388888888888889,0.6833333333333333,0.7833333333333333,0.6833333333333333,0.6977777777777778,0.09320096433560343,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.5824995994567872,0.4129791533957883,0.059640026092529295,0.04847697395198389,5,sqrt,1,300,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.75,0.48888888888888893,0.7388888888888889,0.8333333333333333,0.6777777777777778,0.6977777777777778,0.1156089620175072,7,1.0,0.986842105263158,0.986842105263158,0.9871794871794872,0.9871794871794872,0.989608636977058,0.005197871841449574
4.209111213684082,0.14722190373793306,0.12459192276000977,0.013103541562182266,10,log2,2,1200,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'n_estimators': 1200}",0.8,0.5388888888888889,0.6833333333333333,0.7833333333333333,0.6833333333333333,0.6977777777777778,0.09320096433560343,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2.4612411975860597,0.19277688465996343,0.059171867370605466,0.00496803110007961,7,log2,2,500,"{'max_depth': 7, 'max_features': 'log2', 'min_samples_leaf': 2, 'n_estimators': 500}",0.8,0.5388888888888889,0.6833333333333333,0.7833333333333333,0.6833333333333333,0.6977777777777778,0.09320096433560343,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3.8168566703796385,0.24072185034936552,0.13164963722229003,0.016071178677079537,,log2,2,1200,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'n_estimators': 1200}",0.8,0.5388888888888889,0.6833333333333333,0.7833333333333333,0.6833333333333333,0.6977777777777778,0.09320096433560343,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2.5042367458343504,0.13557888149977174,0.08078398704528808,0.0060499511734167215,,log2,2,800,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'n_estimators': 800}",0.8,0.5388888888888889,0.6333333333333333,0.8333333333333333,0.6833333333333333,0.6977777777777778,0.10810374532404703,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.626359224319458,0.13127130423994357,0.05405411720275879,0.005059321801515622,,log2,2,500,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'n_estimators': 500}",0.8,0.5388888888888889,0.6833333333333333,0.7833333333333333,0.6833333333333333,0.6977777777777778,0.09320096433560343,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2.133495235443115,0.37403967162555557,0.08100686073303223,0.025255615790400615,5,sqrt,1,500,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 500}",0.8,0.48888888888888893,0.7388888888888889,0.8333333333333333,0.6277777777777778,0.6977777777777777,0.12573733154163036,16,1.0,0.986842105263158,0.986842105263158,0.9871794871794872,0.9871794871794872,0.989608636977058,0.005197871841449574
1.8247185230255127,0.24754194077461006,0.0618403434753418,0.010046942908885779,10,log2,1,500,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 500}",0.8,0.5388888888888889,0.6833333333333333,0.8333333333333333,0.6333333333333333,0.6977777777777777,0.10810374532404703,16,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2.4394745349884035,0.584502376836575,0.09295077323913574,0.022692149990033637,5,sqrt,2,500,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 500}",0.8,0.48888888888888893,0.7388888888888889,0.8333333333333333,0.6277777777777778,0.6977777777777777,0.12573733154163036,16,1.0,0.986842105263158,0.986842105263158,0.9871794871794872,1.0,0.9921727395411606,0.006392118668172732
1.6680146694183349,0.09611225946538984,0.05804486274719238,0.00879503981889502,,log2,1,500,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 500}",0.8,0.5388888888888889,0.6833333333333333,0.8333333333333333,0.6333333333333333,0.6977777777777777,0.10810374532404703,16,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2.5922680377960203,0.16391399470150833,0.08819899559020997,0.011205341289149327,,log2,1,800,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 800}",0.8,0.5388888888888889,0.6833333333333333,0.8333333333333333,0.6333333333333333,0.6977777777777777,0.10810374532404703,16,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.7497553825378418,0.2585964724878554,0.06202421188354492,0.015244974127278576,5,log2,2,500,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 2, 'n_estimators': 500}",0.75,0.5388888888888889,0.6833333333333333,0.8333333333333333,0.6777777777777778,0.6966666666666667,0.09690264937962285,21,1.0,0.9736842105263157,0.986842105263158,0.9743589743589743,0.9871794871794872,0.984412955465587,0.009723157181130959
7.053703784942627,1.6794874722443374,0.18031759262084962,0.06305917854608921,5,sqrt,1,1200,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 1200}",0.8,0.48888888888888893,0.6833333333333333,0.8333333333333333,0.6777777777777778,0.6966666666666667,0.12088153572408128,21,1.0,0.986842105263158,0.986842105263158,0.9871794871794872,0.9871794871794872,0.989608636977058,0.005197871841449574
1.0761218070983887,0.1415384879966352,0.03550601005554199,0.0013522296825737234,5,log2,2,300,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 2, 'n_estimators': 300}",0.75,0.5388888888888889,0.7388888888888889,0.8333333333333333,0.6222222222222222,0.6966666666666665,0.10367327595937223,23,1.0,0.9736842105263157,0.986842105263158,0.9871794871794872,0.9871794871794872,0.9869770580296896,0.008323424531772913
3.8465139865875244,0.3108738327682426,0.11648812294006347,0.006160877746910841,3,log2,1,1200,"{'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 1200}",0.8,0.5444444444444444,0.7388888888888889,0.7777777777777778,0.6166666666666667,0.6955555555555556,0.09859506911768454,24,0.9473684210526316,0.9473684210526316,0.9210526315789473,0.9358974358974359,0.9358974358974359,0.9375168690958166,0.009699715425676905
0.8838116645812988,0.046604108826598135,0.03412818908691406,0.007497652004573663,3,sqrt,1,300,"{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.8,0.5444444444444444,0.7388888888888889,0.7777777777777778,0.6166666666666667,0.6955555555555556,0.09859506911768454,24,0.9342105263157895,0.9473684210526316,0.9342105263157895,0.9355600539811066,0.9230769230769231,0.9348852901484481,0.007702363387382468
1.5502778053283692,0.11968004929308704,0.054252243041992186,0.004307920864334083,3,sqrt,1,500,"{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 500}",0.8,0.5444444444444444,0.7388888888888889,0.7777777777777778,0.6166666666666667,0.6955555555555556,0.09859506911768454,24,0.9473684210526316,0.9342105263157895,0.9210526315789473,0.9487179487179487,0.9230769230769231,0.9348852901484481,0.011648229758186279
2.442070150375366,0.1617646496392855,0.0807837963104248,0.008296108192405434,3,sqrt,1,800,"{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 800}",0.8,0.5444444444444444,0.7388888888888889,0.7777777777777778,0.6166666666666667,0.6955555555555556,0.09859506911768454,24,0.9605263157894737,0.9473684210526316,0.9210526315789473,0.9487179487179487,0.9230769230769231,0.9401484480431849,0.015471968310895014
4.444547176361084,0.5387239925974995,0.12630224227905273,0.012453338347314389,3,sqrt,2,1200,"{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 1200}",0.8,0.48888888888888893,0.7388888888888889,0.8333333333333333,0.6166666666666667,0.6955555555555555,0.12704621497998567,28,0.9078947368421053,0.9473684210526316,0.9210526315789473,0.9227395411605939,0.9230769230769231,0.9244264507422402,0.012772479092184914
3.0770262241363526,0.3665430687838287,0.10930814743041992,0.018309627197310958,7,sqrt,2,800,"{'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 800}",0.75,0.48888888888888893,0.6833333333333333,0.8333333333333333,0.6833333333333333,0.6877777777777778,0.11371395779556201,29,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4.6152044296264645,0.5189227636720718,0.16881184577941893,0.053257510742813895,7,sqrt,2,1200,"{'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 1200}",0.8,0.48888888888888893,0.6833333333333333,0.7833333333333333,0.6833333333333333,0.6877777777777778,0.11074383743967063,29,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4.911246919631958,1.1590454910327197,0.14286508560180664,0.04785549719050634,5,log2,4,1200,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 4, 'n_estimators': 1200}",0.75,0.48888888888888893,0.6833333333333333,0.8333333333333333,0.6833333333333333,0.6877777777777778,0.11371395779556201,29,0.986842105263158,0.986842105263158,0.9740215924426451,0.9612010796221322,0.9871794871794872,0.9792172739541162,0.010307776763254197
2.2632492065429686,1.0524100878833476,0.11639256477355957,0.09044557268772595,7,log2,2,300,"{'max_depth': 7, 'max_features': 'log2', 'min_samples_leaf': 2, 'n_estimators': 300}",0.8,0.5388888888888889,0.6833333333333333,0.7333333333333334,0.6833333333333333,0.6877777777777778,0.08587961715084268,29,1.0,1.0,1.0,1.0,1.0,1.0,0.0
