feature_set,n_features,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,precision_mean,precision_std,recall_mean,recall_std
All connectivity features,724,0.6884210526315788,0.0897148452743685,0.6844444444444445,0.08616664875707247,0.7033333333333334,0.10689789751827283,0.7206666666666667,0.07436845209271647,0.661075036075036,0.07931242514135332,0.7688888888888888,0.17517539711125651
Channel-level connectivity features,684,0.7089473684210525,0.07560650428570749,0.7055555555555555,0.07336699564097415,0.7308767442903934,0.0715673068275458,0.7224444444444444,0.07393824583752895,0.692032967032967,0.09834056321865904,0.7911111111111111,0.11008414290222968
Regional connectivity features,40,0.71,0.13377535227143397,0.7077777777777776,0.13233888410785988,0.7182722364308042,0.1526576396136033,0.7688888888888888,0.11555555555555558,0.6856532356532357,0.12389047597573723,0.7733333333333332,0.20240528954196796
